,country,poss,sale,tran,cult,ind.leg,id.ggmap
1,Colombia,3,3,3,3,3,Colombia
2,India,3,3,3,3,3,India
3,Uruguay,3,3,3,3,3,Uruguay
4,Germany,2,3,3,3,2.75,Germany
5,Spain,3,2,2,3,2.5,Spain
6,United States,2,3,3,2,2.5,USA
7,Chile,2,2,2,3,2.25,Chile
8,Australia,3,1,1,3,2,Australia
9,Cambodia,2,2,2,2,2,Cambodia
10,Czech Republic,2,2,2,2,2,Czech Republic
11,Israel,2,2,2,2,2,Israel
12,Netherlands,2,2,2,2,2,Netherlands
13,North Korea,2,2,2,2,2,North Korea
14,Puerto Rico,2,2,2,2,2,Puerto Rico
15,Canada,2,2,1,2,1.75,Canada
16,Jamaica,2,1,1,3,1.75,Jamaica
17,Portugal,2,1,2,2,1.75,Portugal
18,Russia,2,1,2,2,1.75,Russia
19,Ukraine,2,1,2,2,1.75,Ukraine
20,Belgium,2,1,1,2,1.5,Belgium
21,Costa Rica,2,1,1,2,1.5,Costa Rica
22,Croatia,2,2,1,1,1.5,Croatia
23,Italy,2,1,2,1,1.5,Italy
24,Macedonia,2,2,1,1,1.5,Macedonia
25,Malta,2,1,1,2,1.5,Malta
26,Mexico,2,1,1,2,1.5,Mexico
27,Poland,2,2,1,1,1.5,Poland
28,Slovenia,2,1,1,2,1.5,Slovenia
29,Argentina,2,1,1,1,1.25,Argentina
30,Austria,2,1,1,1,1.25,Austria
31,Belize,2,1,1,1,1.25,Belize
32,Bolivia,2,1,1,1,1.25,Bolivia
33,Botswana,2,1,1,1,1.25,Botswana
34,People's Republic of China,1,1,1,2,1.25,China
35,Cyprus,1,1,1,2,1.25,Cyprus
36,Ecuador,2,1,1,1,1.25,Ecuador
37,Estonia,2,1,1,1,1.25,Estonia
38,Greece,2,1,1,1,1.25,Greece
39,Hungary,1,1,2,1,1.25,Hungary
40,Paraguay,2,1,1,1,1.25,Paraguay
41,Peru,2,1,1,1,1.25,Peru
42,Serbia,2,1,1,1,1.25,Serbia
43,Switzerland,2,1,1,1,1.25,Switzerland
44,United Kingdom,2,1,1,1,1.25,UK
46,Afghanistan,1,1,1,1,1,Afghanistan
47,Albania,1,1,1,1,1,Albania
48,Algeria,1,1,1,1,1,Algeria
49,Angola,1,1,1,1,1,Angola
50,Armenia,1,1,1,1,1,Armenia
51,Azerbaijan,1,1,1,1,1,Azerbaijan
52,Bahrain,1,1,1,1,1,Bahrain
53,Bangladesh,1,1,1,1,1,Bangladesh
54,Belarus,1,1,1,1,1,Belarus
55,Benin,1,1,1,1,1,Benin
56,Bhutan,1,1,1,1,1,Bhutan
57,Bosnia and Herzegovina,1,1,1,1,1,Bosnia and Herzegovina
58,Brazil,1,1,1,1,1,Brazil
59,Bulgaria,1,1,1,1,1,Bulgaria
60,Burkina Faso,1,1,1,1,1,Burkina Faso
61,Burundi,1,1,1,1,1,Burundi
62,Cameroon,1,1,1,1,1,Cameroon
63,Chad,1,1,1,1,1,Chad
64,Comoros,1,1,1,1,1,Comoros
65,Cuba,1,1,1,1,1,Cuba
66,Denmark,1,1,1,1,1,Denmark
67,Djibouti,1,1,1,1,1,Djibouti
68,Dominica,1,1,1,1,1,Dominica
69,Egypt,1,1,1,1,1,Egypt
70,El Salvador,1,1,1,1,1,El Salvador
71,Eritrea,1,1,1,1,1,Eritrea
72,Ethiopia,1,1,1,1,1,Ethiopia
73,Finland,1,1,1,1,1,Finland
74,France,1,1,1,1,1,France
75,Gabon,1,1,1,1,1,Gabon
76,Georgia,1,1,1,1,1,Georgia
77,Ghana,1,1,1,1,1,Ghana
78,Guinea,1,1,1,1,1,Guinea
79,Greenland,1,1,1,1,1,Greenland
80,Guatemala,1,1,1,1,1,Guatemala
81,Guyana,1,1,1,1,1,Guyana
82,Haiti,1,1,1,1,1,Haiti
83,Honduras,1,1,1,1,1,Honduras
84,Hong Kong,1,1,1,1,1,#N/A
85,Iceland,1,1,1,1,1,Iceland
86,Indonesia,1,1,1,1,1,Indonesia
87,Iran,1,1,1,1,1,Iran
88,Iraq,1,1,1,1,1,Iraq
89,Ireland,1,1,1,1,1,Ireland
90,Japan,1,1,1,1,1,Japan
91,Jordan,1,1,1,1,1,Jordan
92,Kazakhstan,1,1,1,1,1,Kazakhstan
93,Kenya,1,1,1,1,1,Kenya
94,Kuwait,1,1,1,1,1,Kuwait
95,Kyrgyzstan,1,1,1,1,1,Kyrgyzstan
96,Laos,1,1,1,1,1,Laos
97,Latvia,1,1,1,1,1,Latvia
98,Lebanon,1,1,1,1,1,Lebanon
99,Liberia,1,1,1,1,1,Liberia
100,Libya,1,1,1,1,1,Libya
101,Lithuania,1,1,1,1,1,Lithuania
102,Luxembourg,1,1,1,1,1,Luxembourg
104,Madagascar,1,1,1,1,1,Madagascar
105,Malaysia,1,1,1,1,1,Malaysia
106,Malawi,1,1,1,1,1,Malawi
107,Mali,1,1,1,1,1,Mali
108,Mauritania,1,1,1,1,1,Mauritania
109,Moldova,1,1,1,1,1,Moldova
110,Mongolia,1,1,1,1,1,Mongolia
111,Montenegro,1,1,1,1,1,Montenegro
112,Morocco,1,1,1,1,1,Morocco
113,Mozambique,1,1,1,1,1,Mozambique
114,Myanmar,1,1,1,1,1,Myanmar
115,Namibia,1,1,1,1,1,Namibia
116,Nepal,1,1,1,1,1,Nepal
117,New Zealand,1,1,1,1,1,New Zealand
118,Nicaragua,1,1,1,1,1,Nicaragua
119,Niger,1,1,1,1,1,Niger
120,Nigeria,1,1,1,1,1,Nigeria
121,Northern Mariana Islands,1,1,1,1,1,Northern Mariana Islands
122,Norway,1,1,1,1,1,Norway
123,Oman,1,1,1,1,1,Oman
124,Pakistan,1,1,1,1,1,Pakistan
125,Papua New Guinea,1,1,1,1,1,Papua New Guinea
126,Philippines,1,1,1,1,1,Philippines
127,Qatar,1,1,1,1,1,Qatar
128,Romania,1,1,1,1,1,Romania
129,Rwanda,1,1,1,1,1,Rwanda
130,Saudi Arabia,1,1,1,1,1,Saudi Arabia
131,Senegal,1,1,1,1,1,Senegal
132,Sierra Leone,1,1,1,1,1,Sierra Leone
133,Singapore,1,1,1,1,1,Singapore
134,Slovakia,1,1,1,1,1,Slovakia
135,Somalia,1,1,1,1,1,Somalia
136,South Africa,1,1,1,1,1,South Africa
137,South Korea,1,1,1,1,1,South Korea
138,Sri Lanka,1,1,1,1,1,Sri Lanka
139,Sudan,1,1,1,1,1,Sudan
140,Suriname,1,1,1,1,1,Suriname
141,Swaziland,1,1,1,1,1,Swaziland
142,Sweden,1,1,1,1,1,Sweden
143,Syria,1,1,1,1,1,Syria
144,Taiwan,1,1,1,1,1,Taiwan
145,Tajikistan,1,1,1,1,1,Tajikistan
146,Tanzania,1,1,1,1,1,Tanzania
147,Thailand,1,1,1,1,1,Thailand
148,Togo,1,1,1,1,1,Togo
149,Trinidad and Tobago,1,1,1,1,1,Trinidad
150,Tunisia,1,1,1,1,1,Tunisia
151,Turkey,1,1,1,1,1,Turkey
152,Turkmenistan,1,1,1,1,1,Turkmenistan
153,Uganda,1,1,1,1,1,Uganda
154,United Arab Emirates,1,1,1,1,1,United Arab Emirates
155,Uzbekistan,1,1,1,1,1,Uzbekistan
156,Venezuela,1,1,1,1,1,Venezuela
157,Vietnam,1,1,1,1,1,Vietnam
158,Yemen,1,1,1,1,1,Yemen
159,Zambia,1,1,1,1,1,Zambia
160,Zimbabwe,1,1,1,1,1,Zimbabwe
