id.country,id.ggmap,subregion.general,country.general,subregion.prision,country.prision,subregion.youth,country.youth,subregion.deaths,country.deaths
1,Grenada,,,Caribbean,Grenada,,,,
2,Bahamas,Caribbean,Bahamas,,,,,Caribbean,Bahamas
3,Barbados,Caribbean,Barbados,,,,,,
4,Bermuda,Caribbean,Bermuda,,,,,,
5,Dominican Republic,Caribbean,Dominican Republic,,,,,,
6,Haiti,Caribbean,Haiti,,,,,,
7,Jamaica,Caribbean,Jamaica,,,,,,
8,Puerto Rico,Caribbean,Puerto Rico,,,,,,
9,Saint Lucia,Caribbean,Saint Lucia,,,,,,
10,Trinidad,Caribbean,Trinidad and Tobago,,,,,Caribbean,Trinidad and Tobago
11,Belize,Central America,Belize,,,Central America,Belize,,
12,Costa Rica,Central America,Costa Rica,,,Central America,Costa Rica,Central America,Costa Rica
13,El Salvador,Central America,El Salvador,Central America,El Salvador,Central America,El Salvador,Central America,El Salvador
14,Guatemala,Central America,Guatemala,,,Central America,Honduras,,
15,Honduras,Central America,Honduras,,,,,,
16,Nicaragua,Central America,Nicaragua,,,,,Central America,Nicaragua
17,Panama,Central America,Panama,,,,,Central America,Panama
18,Armenia,Central Asia  and Transcaucasian countries,Armenia,,,,,,
19,Georgia,Central Asia  and Transcaucasian countries,Georgia,,,Central Asia  and Transcaucasian countries,Georgia,,
20,Kazakhstan,Central Asia  and Transcaucasian countries,Kazakhstan,,,Central Asia  and Transcaucasian countries,Kazakhstan,Central Asia  and Transcaucasian countries,Kazakhstan
21,Kyrgyzstan,Central Asia  and Transcaucasian countries,Kyrgyzstan,,,,,Central Asia  and Transcaucasian countries,Kyrgyzstan
22,Tajikistan,Central Asia  and Transcaucasian countries,Tajikistan,,,,,Central Asia  and Transcaucasian countries,Tajikistan
23,Azerbaijan,Central Asia and Transcaucasia,Azerbaijan,,,,,Central Asia and Transcaucasia,Azerbaijan
24,Turkmenistan,Central Asia and Transcaucasian countries,Turkmenistan,,,,,,
25,Uzbekistan,Central Asia and Transcaucasian countries,Uzbekistan,,,,,Central Asia and Transcaucasian countries,Uzbekistan
26,Cambodia,East and South-East Asia,Cambodia,,,,,,
27,China,East and South-East Asia,"China, Hong Kong SAR",,,East and South-East Asia,"China, Hong Kong SAR",East and South-East Asia,"China, Hong Kong SAR"
28,,East and South-East Asia,"China, Macao SAR",,,,,East and South-East Asia,"China, Macao SAR"
29,Indonesia,East and South-East Asia,Indonesia,,,East and South-East Asia,Indonesia,,
30,Japan,East and South-East Asia,Japan,,,East and South-East Asia,Japan,,
31,Laos,East and South-East Asia,Lao People's Democratic Republic,,,,,,
32,Malaysia,East and South-East Asia,Malaysia,,,,,East and South-East Asia,Malaysia
33,Myanmar,East and South-East Asia,Myanmar,,,,,,
34,Philippines,East and South-East Asia,Philippines,,,,,,
35,South Korea,East and South-East Asia,Republic of Korea,,,,,,
36,Singapore,East and South-East Asia,Singapore,,,,,,
37,Taiwan,East and South-East Asia,Taiwan Province of China,,,,,,
38,Thailand,East and South-East Asia,Thailand,,,,,,
39,Belarus,East Europe,Belarus,,,East Europe,Belarus,East Europe,Belarus
40,Russia,East Europe,Russian Federation,,,East Europe,Russian Federation,East Europe,Russian Federation
